Sexo,Coeficiente,Escola,Enem
M,0.8629,Particular,708.72
M,0,Particular,709
M,0.7789,Pública,709.32
M,0.8582,Particular,709.39
M,0,Particular,710
M,0.7798,Particular,710
M,0,Pública,710.5
M,0.4762,Particular,711
M,0.1237,Particular,711.4
M,0.4964,Particular,712.43
M,0.8183,Pública,712.6
M,0.6923,Particular,712.9
M,0.806,Particular,713.17
M,0.5943,Particular,713.21
M,0.7935,Particular,713.23
M,0,Particular,713.4
M,0.7982,Particular,713.87
M,0.5854,Particular,714
M,0.748,Pública,714.07
M,0.605,Particular,714.4
M,0.8619,Particular,715.61
M,0,Particular,715.81
M,0,Particular,715.98
M,0.7063,Particular,716.06
M,0.7591,Particular,716.63
M,0.7945,Particular,716.99
M,0.494,Particular,717.78
M,0,Particular,717.8
F,0,Particular,717.94
M,0,Particular,719.1
M,0.2189,Pública,719.3
M,0.8381,Particular,720.02
M,0.873,Pública,721.23
M,0.5892,Particular,721.4
F,0.1686,Particular,721.5
M,0,Particular,722.44
M,0.7637,Particular,724.88
M,0.4254,Pública,725.1
M,0.4576,Pública,725.53
F,0.7035,Particular,725.67
M,0.4842,Particular,727
M,0,Particular,727.22
M,0.9209,Particular,727.26
M,0.6484,Particular,728.4
M,0.5688,Particular,729.42
F,0.4265,Particular,730.61
M,0,Particular,732
M,0.4807,Particular,734
M,0,Particular,734.18
M,0.8533,Particular,734.23
M,0,Pública,734.26
M,0.3912,Particular,738.5
M,0.606,Particular,739.32
M,0.6385,Particular,741
F,0,Particular,742.06
M,0.7266,Particular,742.11
M,0.8511,Particular,742.77
M,0.8316,Particular,743.54
M,0.8095,Particular,745.23
M,0.8475,Particular,745.24
M,0.8466,Particular,746.21
M,0.8292,Particular,746.59
M,0,Particular,747.34
M,0.84,Particular,753.04
M,0,Particular,755.2
M,0.7892,Particular,764.37
F,0.35,Particular,766.5
M,0.9152,Particular,773.83
M,0.9042,Pública,774.09
M,0.952,Particular,776.2
M,0.8719,Particular,777.51
M,0.8942,Particular,790.37
M,0.7155,Pública,792.2
M,0.9305,Pública,797.16
M,0.758,Particular,801.18
M,0.8243,Particular,812.83
M,0.9493,Particular,824.97
M,0.4011,Pública,861.5
F,0.0822,Particular,876.5
